	Code	Title	Header title	Title level	Full date	Full rank (NR02)	Full rank (1960)
	OR	Ordinarium Divini Officii ad Matutinum	Ordinarium	1			
	PSAL	Psalterium per Hebdomadam		1			
	F1	Dominica	Psalterium - Dominica	2			
	F2	Feria II	Psalterium - Feria II	2			
	F3	Feria III	Psalterium - Feria III	2			
	F4	Feria IV	Psalterium - Feria IV	2			
	F5	Feria V	Psalterium - Feria V	2			
	F6	Feria VI	Psalterium - Feria VI	2			
	F7	Sabbato	Psalterium - Sabbato	2			
	PT	Proprium de Tempore		1			
	A1F1	Dominica I Adventus	Hebdomada I Adventus	2		I. classis - Semiduplex	
	A1F2	Feria II	Hebdomada I Adventus	3			
	A1F3	Feria III	Hebdomada I Adventus	3			
	A1F4	Feria IV	Hebdomada I Adventus	3			
	A1F5	Feria V	Hebdomada I Adventus	3			
	A1F6	Feria VI	Hebdomada I Adventus	3			
	A1F7	Sabbato	Hebdomada I Adventus	3			
	A2F1	Dominica II Adventus	Hebdomada II Adventus	2		II. classis - Semiduplex	
	A2F2	Feria II	Hebdomada II Adventus	3			
	A2F3	Feria III	Hebdomada II Adventus	3			
	A2F4	Feria IV	Hebdomada II Adventus	3			
	A2F5	Feria V	Hebdomada II Adventus	3			
	A2F6	Feria VI	Hebdomada II Adventus	3			
	A2F7	Sabbato	Hebdomada II Adventus	3			
	A3F1	Dominica III Adventus	Hebdomada III Adventus	2		II. classis - Semiduplex	
	A3F2	Feria II	Hebdomada III Adventus	3			
	A3F3	Feria III	Hebdomada III Adventus	3			
	A3F4	Feria IV Quatuor Temporum	Hebdomada III Adventus	2			
	A3F5	Feria V	Hebdomada III Adventus	3			
	A3F6	Feria VI Quatuor Temporum	Hebdomada III Adventus	2			
	A3F7	Sabbato Quatuor Temporum	Hebdomada III Adventus	2			
	A4F1	Dominica IV Adventus	Hebdomada IV Adventus	2		II. classis - Semiduplex	
	A4F2	Feria II	Hebdomada IV Adventus	3			
	A4F3	Feria III	Hebdomada IV Adventus	3			
	A4F4	Feria IV	Hebdomada IV Adventus	3			
	A4F5	Feria V	Hebdomada IV Adventus	3			
	A4F6	Feria VI	Hebdomada IV Adventus	3			
	1224	In Vigilia Nativitatis Domini	In Vigilia Nativitatis Domini	3	24 Decembris	Duplex I. classis	
	1225	In Nativitate\\Domini nostri Jesu Christi	In Nativitate Domini	1	25 Decembris	Duplex I. classis	
	1226	In Festo S. Stephani Protomartyris	S. Stephani Protomartyris	2	26 Decembris	Duplex II. classis	
	1227	In Festo S. Joannis\\Apostoli et Evangelistæ	S. Joannis Apostoli et Evangelistæ	2	27 Decembris	Duplex II. classis	
	1228	In Festo Ss. Innocentium Martyrum	Ss. Innocentium Martyrum	2	28 Decembris	Duplex II. classis	
	N1F1	Dominica infra Octavam Nativitatis	Dominica infra Octavam Nativitatis	2		Semiduplex Dominica minor	
	1229	S. Thomæ Episcopi et Martyris	S. Thomæ Episcopi et Martyris	2	29 Decembris	Duplex	
	1230	Die VI infra Octavam Nativitatis	Infra Octavam Nativitatis	3	30 Decembris		
	1231	S. Silvestri Papæ et Confessoris	S. Silvestri Papæ et Confessoris	2	31 Decembris	Duplex	
