gregobase_id	Hudelmaier code	NR02 source letter	NR02 source page
8208	ORIa	AR	3*
14469	ORIb	AR	2*
11319	ORIP2	H	449
11718	ORIP3a	H	444
13366	ORIP3b	H	443
14094	ORIP4a	H	452
14096	ORIP4b	H	441
14095	ORIP4c	W	195
14097	ORIP5	H	447
14098	ORIP6a	H	451
14104	ORIP6b	H	446
10103	ORIP6c	W	197
13355	ORIP7a	H	445
14099	ORIP7b	H	445
14106	A1F1I		
14107	A1F2I	H	14
14108	A3F1I	LC	18
14109	A3F2I	LC	22
14110	A1H	AR	212
14111	Q1I	H	159
8059	Q1H		
14114	Q5I	H	143
14115	Q5H		
14116	P1I	H	232
8122	P1H	AR	454
14118	ORTDa		
14119	ORTDb		
14160	ORGP1		
14161	ORGP2		
14162	ORGP3		
14163	ORGP4		
14164	ORGP5		
14165	ORGP6		
14166	ORGP7		
14167	ORGP8		
14168	ORBDa		
14169	ORBDb		
14170	ORBDc		
14171	ORBDd		
14172	ORBDe		
14173	ORBDf		
14174	ORBDg		
14175	ORBDh		
14176	ORBDi		
14177	ORBDj		
14178	ORBDk		
14179	ORBDl		
14180	ORBDm		
14181	ORAL1		
14182	ORAL2		
14183	ORAL3		
8115	F1Iw	H	136
8116	7GF1I	H	83
8169	F1Hw	Kpt	19
8170	F1Is	H	447
7906	F1Hs	AR	9
14184	A1F1N1A1	PsM	31
8064	F1N1A1	PsM	2
8168	A1F1N1A2	PsM	42
8065	F1N1A2	H	93
14185	A1F1N1A3	PsM	45
8066	F1N1A3	Off.m.h	23
14186	P1F1N1A		
14188	A1F1N2A1	PsM	35
14189	F1N2A1	PsM	8
14190	A1F1N2A2	Bud118	4v
8068	F1N2A2	Off.m.h	27
14191	A1F1N2A3	Bud118	4v
8069	F1N2A3	Off.m.h	28
14192	P1F1N2A		
14193	A1F1N3A1	Bud118	6v
8070	F1N3A1	Off.m.h	32
14194	A1F1N3A2	Bud118	7r
8071	F1N3A2	Off.m.h	33
14195	A1F1N3A3	PsM	37
8181	F1N3A3	Off.m.h / H	34 / 373
14196	P1F1N3A		
14197	F2I	H	444
14198	F2H	W	63
14199	F2N1A1	Off.m.h	135
10065	P1F2N1A	HPS	
8182	F2N1A2	Off.m.h	136
14201	F2N1A3	H	99
8073	F2N2A1	Off.m.h	137
10146	P1F2N2A	HPS	
8074	F2N2A2	Off.m.h	138
8075	F2N2A3	H	100
8183	F2N3A1	H	100
10155	P1F2N3A	HPS	
14207	F2N3A2	Off.m.h	141
8184	F2N3A3	H	262
14208	F3I	H	451
14209	F3H	W	65
8076	F3N1A1	H / Off.m.h	93 / 176
10066	P1F3N1A	HPS	
8077	F3N1A2	Off.m.h	177
8078	F3N1A3	PsM	89
8088	F3N2A1	Off.m.h	178
14322	P1F3N2A	HPS	
8089	F3N2A2	Off.m.h	179
8090	F3N2A3	Off.m.h	180
8091	F3N3A1	Off.m.h	180
14220	P1F3N3A	HPS	
8092	F3N3A2	Off.m.h	181
8060	F3N3A3	Off.m.h	182
14212	F4I	HPS / H	449
14213	F4H	W	66
8186	F4N1A1	H	70
